Id,Neighborhood,OverallQual,GrLivArea,YearBuilt,Bedrooms,FullBath,GarageCars,LotArea,SalePrice,LotFrontage
1332,CollgCr,5,1905,2001,4,2,2,14073,262600,
1333,OldTown,3,1633,1940,2,1,1,7612,160900,
1334,BrDale,4,1573,1918,4,2,1,14085,160100,66.0
1335,BrDale,5,1757,1946,5,3,2,10812,148600,71.0
1336,BrkSide,3,1922,1969,5,2,1,14067,181200,75.0
1337,Timber,7,2583,1994,3,3,2,17385,305500,96.0
1338,OldTown,5,1967,1984,3,1,2,15274,193400,92.0
1339,IDOTRR,5,2401,1937,4,2,1,15022,180400,54.0
1340,NWAmes,7,2024,2010,4,3,2,15295,266300,
1341,NoRidge,7,2728,1930,3,3,2,16865,379400,60.0
1342,BrkSide,3,1629,1914,4,3,1,17492,185300,33.0
1343,CollgCr,5,2944,1911,4,1,2,14768,256500,68.0
1344,OldTown,6,1562,2003,5,2,3,12697,206000,111.0
1345,BrDale,4,1378,1919,3,1,2,15018,153100,32.0
1346,OldTown,4,1766,1968,4,2,1,10815,203300,69.0
1347,CollgCr,4,1759,1998,2,2,1,7844,245300,69.0
1348,NWAmes,8,3022,1992,4,2,3,16770,313100,76.0
1349,NWAmes,7,1926,2010,4,3,0,12130,270600,
1350,Somerst,7,2476,1917,5,2,3,9725,286400,
1351,BrkSide,6,2386,1946,3,2,1,15523,241100,
1352,BrkSide,5,2046,1957,4,1,1,18100,201000,99.0
1353,Gilbert,5,1463,1984,2,2,1,6221,216900,48.0
1354,Gilbert,5,2292,1976,4,1,3,17162,260000,59.0
1355,IDOTRR,4,2050,1961,4,2,3,4220,212600,116.0
1356,NridgHt,10,2909,1954,4,3,3,13416,396000,54.0
1357,CollgCr,7,2231,1920,4,2,2,19903,287900,
1358,CollgCr,5,1879,1956,3,3,1,11608,235200,93.0
1359,Edwards,5,1772,1930,3,2,2,12858,182700,92.0
1360,Somerst,5,2024,1972,5,3,1,15718,280300,
1361,Edwards,6,1990,1989,4,2,1,6972,200500,54.0
1362,NWAmes,5,1503,1968,2,2,2,12258,250400,77.0
1363,OldTown,5,1432,1966,3,2,2,12088,198300,112.0
1364,StoneBr,9,2256,1924,3,3,3,20030,348800,53.0
1365,CollgCr,6,2057,1979,3,3,1,8788,262300,59.0
1366,CollgCr,6,1970,1957,5,2,2,11604,252300,79.0
1367,Veenker,6,2055,1926,4,3,1,9860,282800,84.0
1368,Somerst,6,2155,1935,5,2,2,9689,312400,85.0
1369,Timber,6,1760,1997,3,3,2,16465,275600,51.0
1370,NWAmes,5,2312,2008,4,2,1,13717,270000,58.0
1371,NoRidge,10,2606,1976,5,4,3,12267,395800,75.0
1372,MeadowV,4,1468,2007,1,2,2,10123,174800,98.0
1373,NWAmes,5,1968,1927,4,3,1,10964,233200,65.0
1374,BrkSide,4,977,1934,3,1,1,9295,143500,70.0
1375,BrDale,5,1523,2002,4,1,2,7620,195000,47.0
1376,NoRidge,9,2863,1940,5,2,2,13820,377900,
1377,OldTown,5,1191,1974,2,1,2,10124,170400,
1378,IDOTRR,4,2011,1924,5,1,1,10369,190900,94.0
1379,OldTown,5,2328,1938,4,2,1,14198,208800,71.0
1380,CollgCr,5,1670,1961,3,2,3,13179,247400,72.0
1381,CollgCr,6,2082,1948,4,2,2,11215,287800,37.0
1382,NridgHt,9,2911,2010,4,3,2,14317,367800,23.0
1383,OldTown,6,1816,2009,5,2,2,20187,241400,
1384,BrDale,3,1743,1955,4,3,1,19907,149900,
1385,BrDale,3,1205,1957,3,1,1,7720,154800,75.0
1386,StoneBr,8,2172,1926,5,2,2,10143,338900,43.0
1387,Edwards,7,1880,1927,4,3,1,9052,193400,50.0
1388,Gilbert,3,1559,1912,4,1,2,15817,234700,93.0
1389,IDOTRR,4,2025,1994,5,3,1,11655,219000,108.0
1390,StoneBr,6,1915,1945,4,2,2,13668,325700,56.0
1391,MeadowV,3,995,1937,3,2,1,17979,141600,85.0
1392,BrkSide,4,1241,1994,4,2,4,11445,193200,74.0
1393,Somerst,6,2118,1990,4,2,2,15707,318400,67.0
1394,StoneBr,7,2805,1988,4,2,1,16431,327300,111.0
1395,BrkSide,4,1757,1906,5,2,1,10455,182600,60.0
1396,Somerst,6,1844,1973,5,3,3,16395,268400,97.0
1397,OldTown,3,1708,1963,3,1,2,9442,140800,78.0
1398,MeadowV,5,1716,1935,3,1,1,17121,164900,70.0
1399,OldTown,5,1667,1983,5,1,3,10277,239900,100.0
1400,NWAmes,7,1824,2010,4,3,3,10975,261300,76.0
1401,CollgCr,4,2112,1937,4,2,2,9414,260800,
1402,StoneBr,8,1451,1956,3,3,2,8667,356300,100.0
1403,BrDale,5,2079,1935,4,1,2,11664,192300,97.0
1404,Gilbert,4,1457,1999,3,1,2,3404,234000,
1405,Timber,6,1836,1920,3,2,2,11855,239600,21.0
1406,Gilbert,5,2392,2006,4,2,1,12006,249400,80.0
1407,BrDale,6,1730,1985,4,2,2,15225,216100,75.0
1408,NoRidge,10,2461,1974,4,3,4,15402,397100,69.0
1409,IDOTRR,2,1214,1964,4,3,2,8951,153100,83.0
1410,Edwards,8,2484,2000,5,3,3,12363,260400,76.0
1411,BrkSide,3,1285,1986,4,2,2,10748,213400,85.0
1412,BrDale,5,1249,1930,3,2,2,16698,160600,64.0
1413,BrkSide,6,1677,1907,4,1,2,9475,223600,
1414,MeadowV,3,1888,1972,4,1,2,10256,174200,87.0
1415,Somerst,7,2186,1928,3,1,3,9421,321500,82.0
1416,BrkSide,4,1777,1911,4,2,2,7366,160200,81.0
1417,OldTown,5,1708,2010,4,2,1,13490,205900,95.0
1418,OldTown,5,1569,1954,5,1,2,12848,186600,92.0
1419,IDOTRR,6,2567,1971,5,3,2,18623,220200,
1420,BrDale,4,1554,1923,4,1,1,15752,184700,
1421,Edwards,4,1464,1913,3,1,4,20317,193700,74.0
1422,CollgCr,7,2543,1915,4,3,1,13827,295600,
1423,CollgCr,7,1907,1947,3,2,3,11902,259500,94.0
1424,NWAmes,7,1951,1908,2,3,2,8351,238500,56.0
1425,NWAmes,5,1803,1954,3,2,2,15044,241700,
1426,NWAmes,4,1620,1943,3,1,3,12654,230700,24.0
1427,NoRidge,7,2250,1978,2,3,1,15779,348400,84.0
1428,NoRidge,7,2892,1985,4,3,2,10797,358800,55.0
1429,BrkSide,5,1917,1935,3,2,2,14064,220100,111.0
1430,CollgCr,7,1327,1959,3,2,2,12372,246000,76.0
1431,MeadowV,4,1734,1908,3,2,2,12954,189700,53.0
1432,OldTown,6,1993,1935,3,3,2,10594,210300,64.0
1433,NridgHt,10,2715,2010,6,3,3,18592,420000,54.0
1434,Somerst,7,2246,2010,4,2,1,20668,307500,63.0
1435,Veenker,5,1789,1966,3,1,1,8691,253400,63.0
1436,BrDale,6,1961,2003,4,3,2,15443,216100,
1437,Veenker,6,2194,1968,4,2,1,3315,322600,
1438,CollgCr,6,1790,1922,3,2,3,14920,260400,
1439,MeadowV,4,1288,1995,2,3,1,5030,178400,48.0
1440,BrDale,3,2498,1945,5,1,1,12158,197500,34.0
1441,Gilbert,4,1369,1975,3,3,2,7142,230600,77.0
1442,StoneBr,9,2555,1991,3,3,2,13355,383300,82.0
1443,Somerst,5,1276,1945,3,2,1,14487,252400,86.0
1444,NoRidge,10,2740,2001,4,3,4,7979,422400,82.0
1445,Timber,5,1473,1967,2,1,1,10687,231500,105.0
1446,OldTown,3,1285,1942,3,2,1,9773,167000,92.0
1447,MeadowV,5,2165,1932,4,2,2,18863,185100,
1448,OldTown,6,2145,1984,4,3,2,14801,216100,138.0
1449,OldTown,5,1998,1929,5,2,2,8875,224500,
1450,Timber,7,1540,1925,4,1,2,10430,257900,22.0
1451,BrkSide,2,1902,1998,5,1,1,18250,155300,70.0
1452,OldTown,4,1202,1938,5,3,2,13904,186800,
1453,IDOTRR,3,1974,1970,4,1,2,9734,151300,
1454,MeadowV,2,1617,1978,3,2,1,11299,117600,85.0
1455,NWAmes,6,2182,2000,5,2,3,12541,289700,
1456,NoRidge,5,1500,1989,3,2,1,10117,319600,55.0
1457,Veenker,5,1853,1990,4,2,2,6720,287800,58.0
1458,CollgCr,5,1635,2001,3,2,1,9898,239700,
1459,MeadowV,3,1450,2003,4,3,1,16762,135200,89.0
1460,NWAmes,6,1892,1913,3,2,1,11449,218200,
